# library,nid,name
sceNetAdhoc,0x8BEA2B3E,sceNetAdhocPtpRecv
sceNetAdhoc,0x9AC2EEAC,sceNetAdhocPtpFlush
sceNetAdhoc,0x9DF81198,sceNetAdhocPtpAccept
sceNetAdhoc,0xA62C6F57,sceNetAdhocTerm
sceNetAdhoc,0xABED3790,sceNetAdhocPdpSend
sceNetAdhoc,0xB9685118,sceNetAdhocGetPtpStat
sceNetAdhoc,0xDFE53E03,sceNetAdhocPdpRecv
sceNetAdhoc,0xE08BDAC1,sceNetAdhocPtpListen
sceNetAdhoc,0xE1D621D7,sceNetAdhocInit
sceNetAdhoc,0xFC6FC07B,sceNetAdhocPtpConnect
sceNetAdhocDiscover,0x52DE1B97,sceNetAdhocDiscoverUpdate
sceNetAdhocDiscover,0x941B3877,sceNetAdhocDiscoverInitStart
sceNetAdhocDiscover,0x944DDBC6,sceNetAdhocDiscoverGetStatus
sceNetAdhocDiscover,0xA2246614,sceNetAdhocDiscoverTerm
sceNetAdhocDiscover,0xF7D13214,sceNetAdhocDiscoverStop
sceNetAdhocctl,0x08FFF7A0,sceNetAdhocctlScan
sceNetAdhocctl,0x20B317A0,sceNetAdhocctlAddHandler
sceNetAdhocctl,0x34401D65,sceNetAdhocctlDisconnect
sceNetAdhocctl,0x6402490B,sceNetAdhocctlDelHandler
sceNetAdhocctl,0x81AEE1BE,sceNetAdhocctlGetScanInfo
sceNetAdhocctl,0x9D689E13,sceNetAdhocctlTerm
sceNetAdhocctl,0xE162CB14,sceNetAdhocctlGetPeerList
sceNetAdhocctl,0xE26F226E,sceNetAdhocctlInit
sceNetApctl,0x24FE91A1,sceNetApctlDisconnect
sceNetApctl,0x2BEFDF23,sceNetApctlGetInfo
sceNetApctl,0x5963991B,sceNetApctlDelHandler
sceNetApctl,0x8ABADD51,sceNetApctlAddHandler
sceNetApctl,0xB3EDD0EC,sceNetApctlTerm
sceNetApctl,0xE2F91F9B,sceNetApctlInit
sceNetInet,0x17943399,sceNetInetInit
sceNetInet,0x1A33F9AE,sceNetInetBind
sceNetInet,0x2FE71FE7,sceNetInetSetsockopt
sceNetInet,0x410B34AA,sceNetInetConnect
sceNetInet,0x7AA671BC,sceNetInetSend
sceNetInet,0x805502DD,sceNetInetCloseWithRST
sceNetInet,0x8B7B220F,sceNetInetSocket
sceNetInet,0x8CA3A97E,sceNetInetGetPspError
sceNetInet,0x8D7284EA,sceNetInetClose
sceNetInet,0xA9ED66B9,sceNetInetTerm
sceNetInet,0xB3888AD4,sceNetInetGetTcpcbstat
sceNetInet,0xB75D5B0A,sceNetInetInetAddr
sceNetInet,0xCDA85C99,sceNetInetRecv
sceNetInet,0xD10A1A7A,sceNetInetListen
sceNetInet,0xDB094E1B,sceNetInetAccept
sceNetInet,0xE247B6D6,sceNetInetGetpeername
sceOpenPSID,0xC69BEBCE,sceOpenPSIDGetOpenPSID
scePower,0x04B7766E,scePowerRegisterCallback
scePower,0x469989AD,scePowerSetClockFrequency630
scePower,0xA85880D0,scePowerCheckWlanCoexistenceClock
sceRtc,0xE7C27D1B,sceRtcGetCurrentClockLocalTime
sceSasCore,0x267A6DD2,__sceSasRevParam
sceSasCore,0x33D4AB37,__sceSasRevType
sceSasCore,0x42778A9F,__sceSasInit
sceSasCore,0x440CA7D8,__sceSasSetVolume
sceSasCore,0x68A46B95,__sceSasGetEndFlag
sceSasCore,0x76F01ACA,__sceSasSetKeyOn
sceSasCore,0x99944089,__sceSasSetVoice
sceSasCore,0xA0CF2FA4,__sceSasSetKeyOff
sceSasCore,0xA3589D81,__sceSasCore
sceSasCore,0xAD84D37F,__sceSasSetPitch
sceSasCore,0xCBCD4F79,__sceSasSetSimpleADSR
sceSasCore,0xD5A229C9,__sceSasRevEVOL
sceSasCore,0xE175EF66,__sceSasGetOutputmode
sceSasCore,0xF983B186,__sceSasRevVON
sceSsl,0x191CDEFF,sceSslEnd
sceSsl,0x957ECBE2,sceSslInit
sceSuspendForUser,0x090CCB3F,sceKernelPowerTick
sceSuspendForUser,0x3E0271D3,sceKernelVolatileMemLock
sceSuspendForUser,0xA569E425,sceKernelVolatileMemUnlock
sceUmdUser,0x20628E6F,sceUmdGetErrorStat
sceUtility,0x2A2B3DE0,sceUtilityLoadModule
sceUtility,0x2AD8E239,sceUtilityMsgDialogInitStart
sceUtility,0x3DFAEBA9,sceUtilityOskShutdownStart
sceUtility,0x4B85C861,sceUtilityOskUpdate
sceUtility,0x4DB1E739,sceUtilityNetconfInitStart
sceUtility,0x50C4CD57,sceUtilitySavedataInitStart
sceUtility,0x6332AA39,sceUtilityNetconfGetStatus
